ds,yhat,yhat_lower,yhat_upper
2015-01-01,12255.156114032416,4541.60555643752,20106.386246716786
2015-02-01,7045.224830106614,-539.6022169253173,14333.544200473536
2015-03-01,54000.678172745604,46878.99986730037,61901.39778373181
2015-04-01,25045.610930880648,17548.841492405107,32601.506200927553
2015-05-01,24700.17641983825,17650.161156846392,32477.295381955086
2015-06-01,31115.75687096772,23449.75718960375,38054.913378149446
2015-07-01,29218.065785273953,22099.390102182915,37071.12808761944
2015-08-01,20452.617074201746,13561.70982641884,27684.583331720463
2015-09-01,75972.73974009289,68876.13792592027,82927.44856279175
2015-10-01,32452.54370869001,25148.733607032416,39610.7801693436
2015-11-01,74297.79626889591,66599.13169476097,81703.31839507468
2015-12-01,69694.35994623121,62126.43454422148,76829.56512088167
2016-01-01,17878.579687473703,10618.761502737972,25198.311811715073
2016-02-01,8601.118307293484,1504.2182966593812,15779.437583923262
2016-03-01,36063.57599745836,28695.70494909134,43290.55900052185
2016-04-01,36370.35962899403,28806.05315688283,43207.688815283465
2016-05-01,42460.707815013906,35166.983690833425,49649.324506682366
2016-06-01,29774.88780557423,21747.215301143053,36597.82395848608
2016-07-01,33053.98470985478,26030.44225284799,40443.12617299323
2016-08-01,36385.54618803742,29462.36696844957,43388.04019038021
2016-09-01,63622.85555328215,56015.78023676031,70839.36915266394
2016-10-01,43234.01445670719,36315.21501854835,50269.20578659081
2016-11-01,75874.88736878539,68533.56330856346,82382.89126403679
2016-12-01,83309.59231661615,76220.59840442668,90833.57516681298
2017-01-01,20661.60214359745,13875.35979777752,28139.22639279964
2017-02-01,23802.385728149173,16304.15085787009,30582.020678468572
2017-03-01,48649.23799901937,41441.06397021658,55926.9315814577
2017-04-01,39336.471464660586,32305.048678036383,47272.20488094669
2017-05-01,43109.59521342746,35697.5369124328,50390.14622950761
2017-06-01,36766.22994100186,29238.480052083036,44505.54766846112
2017-07-01,38419.36370133479,31257.619947763742,45777.44477358005
2017-08-01,37617.11075024349,30098.663282738868,44948.591606225
2017-09-01,74350.50167653302,66997.63536039367,81558.33428979453
2017-10-01,46327.745211793605,38804.17216412154,53560.854360241516
2017-11-01,82033.35158582195,74954.87798347852,90031.68925773384
2017-12-01,85432.2770813023,78177.15237045972,92899.57584559389
2017-12-31,29436.68792283969,22021.511847744387,36811.61088515963
2018-01-31,12241.436954148536,5172.692149961449,19600.204147658944
2018-02-28,91232.98219483832,84105.25973340527,98832.23612345055
2018-03-31,32062.5577238827,25322.97850309162,39339.72761278144
2018-04-30,26981.560138838497,19298.796065328588,34307.68008548819
2018-05-31,52725.754762422315,45391.51881684171,60312.36145586937
2018-06-30,44856.82776348341,37444.56424104811,51997.33185830521
2018-07-31,25017.246750236263,17433.154895299536,32228.91088593454
2018-08-31,108161.66550242828,100739.69415344634,115228.48550646524
2018-09-30,40981.67483005385,33453.889538891795,48617.12268423416
2018-10-31,92118.70122313038,84520.09215685244,99423.05172329616
2018-11-30,75804.58054644727,68561.91892287238,83057.8498602926
